species,age,energy_level,size,good_with_kids,needs_quiet,training_level,lives_in_apartment,has_kids,hours_home_per_day,activity_level,experience_level,allergic_to_cats,allergic_to_dogs,prefers_quiet_home,true_score,label
cat,12,5,small,1,1,6,0,1,3,4,4,0,1,1,0.6599999999999999,1
cat,8,5,medium,1,0,6,1,1,14,6,2,1,0,0,0.05999999999999998,0
cat,8,2,medium,1,0,6,0,0,2,4,5,0,0,0,0.57,1
dog,3,8,medium,1,0,2,0,1,9,7,5,0,0,0,0.6599999999999999,1
cat,1,4,medium,0,1,1,0,0,13,6,4,0,0,0,0.47,0
dog,12,7,large,1,0,6,0,1,9,2,1,0,0,1,0.49999999999999994,0
cat,7,8,small,0,0,1,0,0,6,6,2,0,0,1,0.37,0
cat,13,3,small,1,0,6,1,0,10,9,1,0,0,1,0.45999999999999996,0
rabbit,4,2,small,1,1,1,0,0,14,9,3,1,0,0,0.11999999999999991,0
cat,4,4,medium,1,0,3,0,0,5,4,2,0,0,1,0.5499999999999999,0
dog,4,4,large,0,1,4,0,1,4,10,10,0,0,0,0.0,0
dog,6,9,medium,0,1,2,1,1,15,2,4,0,0,1,0.0,0
dog,8,4,small,0,0,2,1,0,5,7,1,0,1,0,0.0,0
cat,7,8,small,1,0,5,0,1,11,8,9,0,0,1,0.6,1
cat,10,2,medium,1,1,5,0,1,3,7,10,0,0,1,0.49999999999999994,0
dog,7,5,large,1,0,2,0,0,3,2,9,0,0,0,0.37999999999999995,0
cat,5,3,small,0,1,6,0,0,16,2,3,0,0,0,0.5099999999999999,0
dog,12,8,small,1,0,8,0,0,3,7,5,1,0,1,0.35999999999999993,0
dog,9,9,medium,1,0,3,0,0,4,7,3,1,0,0,0.27,0
dog,4,6,large,1,0,7,0,1,4,3,7,1,0,0,0.37999999999999995,0
cat,12,4,small,0,1,1,1,0,9,6,5,0,0,1,0.62,1
dog,2,7,medium,1,0,9,0,1,6,3,10,0,0,1,0.5399999999999999,0
cat,7,2,small,0,1,6,1,0,10,4,6,0,0,0,0.47,0
cat,12,5,small,0,1,6,0,1,12,7,3,0,0,0,0.17,1
dog,10,8,medium,1,0,8,0,1,12,10,6,1,0,1,0.52,0
cat,1,1,small,1,0,1,1,0,5,7,8,0,0,0,0.45999999999999996,0
cat,2,7,small,0,0,4,0,0,3,8,3,0,0,0,0.6599999999999999,1
rabbit,7,6,small,0,1,2,0,0,15,5,9,0,0,0,0.5099999999999999,0
dog,6,4,small,1,0,4,1,1,9,7,1,0,0,0,0.58,1
cat,15,7,small,0,1,4,0,0,14,10,4,0,0,0,0.42999999999999994,0
cat,7,3,medium,0,0,5,0,0,12,1,2,0,0,0,0.62,0
