feature,importance
energy_level,0.1609053989748965
activity_level,0.14027049586266693
needs_quiet,0.09853505008295374
hours_home_per_day,0.08636743122887289
prefers_quiet_home,0.08374267139371597
lives_in_apartment,0.07958355343688966
has_kids,0.05606892101527367
experience_level,0.054467422985387835
age,0.04226041918740789
training_level,0.04210513731015326
allergic_to_cats,0.030771449297837882
allergic_to_dogs,0.030359507285470183
species_cat,0.027638003653815458
good_with_kids,0.023574727650897194
size_large,0.019725349463464603
species_dog,0.014162540716319132
size_medium,0.006238849369416527
species_rabbit,0.001660741740261758
size_small,0.0015623293442989462
