name,species,age,energy_level,size,training_level,needs_quiet,good_with_kids,mean_score,median_score,p90_score,share_strong_match,share_zero_chance
Duke,dog,9,10,medium,9,False,False,0.2340792960037066,0.20313262022641754,0.44853137630371964,0.055,0.49
Felix,cat,11,3,small,6,True,True,0.21188589624170007,0.15270325777523225,0.5594656632971556,0.06,0.67
Thumper,rabbit,7,5,small,2,True,False,0.21905277399630718,0.15277275902713544,0.5038848794491021,0.055,0.63
Buddy,dog,9,4,small,1,False,True,0.33362508992602485,0.30312442077240115,0.6279453158448081,0.145,0.325
Mochi,cat,8,6,small,6,False,False,0.3919083315901494,0.36250044386595814,0.6568323227185645,0.215,0.175
Pepper,rabbit,8,2,small,4,True,False,0.22151496577577873,0.16681427537720855,0.5119608608476054,0.045,0.62
Lucy,dog,7,4,large,5,False,True,0.32041693038428753,0.29958933804199717,0.6054220986769154,0.11,0.34
Whiskers,cat,2,2,small,1,True,False,0.13310571246765193,0.09384749556183886,0.28727386234008934,0.0,0.81
Thumper,rabbit,4,3,small,1,True,False,0.1681942630265501,0.1263336416842437,0.35284511625583004,0.0,0.725
Penny,dog,7,9,medium,5,False,True,0.28511408216027834,0.26420284088450186,0.4991978457092347,0.055,0.35
Salem,cat,2,5,small,1,False,False,0.3163645707969496,0.2979468871048693,0.5910785524180852,0.085,0.31
Clover,rabbit,4,7,small,1,True,True,0.18263413199011055,0.1261509726957495,0.4557307235041254,0.005,0.695
Duke,dog,8,5,large,3,False,True,0.30987156011862393,0.262063884447159,0.6075850349386425,0.12,0.37
Pumpkin,cat,11,7,small,3,True,True,0.19018652824494708,0.12796583542827822,0.4596795872728076,0.03,0.66
Pebbles,rabbit,5,2,small,4,True,True,0.22695454902784085,0.1632655048873022,0.5558595832706353,0.06,0.655
Bella,dog,1,5,small,6,False,True,0.4211647765633175,0.4630975491292259,0.6662506155307028,0.21,0.185
Biscuit,cat,5,7,small,2,False,True,0.3563995261080579,0.34057358101671287,0.6367393416928536,0.14,0.26
Thumper,rabbit,6,4,small,2,True,False,0.18873867361789973,0.1355204642054995,0.41618539321269954,0.035,0.705
Penny,dog,10,5,large,4,False,True,0.3594996207513749,0.3487360411721878,0.6393770591779243,0.175,0.26
Biscuit,cat,10,4,medium,5,False,True,0.4837741900199655,0.5053574897639385,0.7201119266003435,0.35,0.105
Cinnamon,rabbit,7,5,small,4,True,False,0.2638965962237415,0.20905861793870445,0.6059789553282859,0.105,0.48
Max,dog,2,4,small,7,False,False,0.3270605779220037,0.3072268432253857,0.5757367042458079,0.075,0.285
Tigger,cat,7,8,small,1,False,True,0.23228157122311807,0.21385587311841942,0.4403150946262863,0.035,0.465
Clover,rabbit,4,5,small,1,True,False,0.19590299623503837,0.14402003932929336,0.4594847443751027,0.04,0.69
Lucy,dog,4,6,large,4,False,True,0.32460213381007313,0.3050040819241089,0.6123037192432682,0.115,0.35
Whiskers,cat,1,3,small,1,False,False,0.24333038681638652,0.2170791836921538,0.4789193376645218,0.015,0.44
Snowball,rabbit,3,5,small,2,True,False,0.21671312271426132,0.15600107070073366,0.5025829560974261,0.05,0.64
Max,dog,1,10,large,1,False,False,0.17619750094897707,0.14773439682211667,0.3108347870345525,0.015,0.665
Simba,cat,11,2,small,1,True,False,0.12350154909036835,0.07674949059035271,0.2826483185850425,0.0,0.825
Hazel,rabbit,8,6,small,1,True,True,0.21443409325396068,0.15063801575796865,0.5024197765431998,0.045,0.655
Charlie,dog,6,8,small,7,True,True,0.10188812275961137,0.08882312382612936,0.21764766484517986,0.0,0.875
Mochi,cat,1,8,small,5,True,False,0.1826744717741213,0.1591764096860345,0.3254782071858339,0.0,0.585
Thumper,rabbit,2,2,small,1,True,True,0.16917823550158106,0.1138339902515006,0.4483602863099256,0.005,0.745
Lucy,dog,7,8,medium,8,False,False,0.22007402105741675,0.17613564480764857,0.4350348869477708,0.05,0.55
Felix,cat,14,2,small,1,True,False,0.15556100245854382,0.10292250292228285,0.34950745363317454,0.0,0.78
Cocoa,rabbit,1,3,small,1,True,False,0.17308467978092246,0.13811985072314464,0.3202540070897208,0.0,0.7
Penny,dog,10,10,medium,10,False,True,0.27676275162586134,0.26684295122607765,0.4994918550992506,0.055,0.385
Shadow,cat,9,3,medium,4,False,True,0.4730248258099705,0.4904658759337638,0.7023142460669133,0.34,0.105
Cinnamon,rabbit,6,5,small,2,True,False,0.21484414065857038,0.14905979493530885,0.4943031581753273,0.045,0.64
Zoe,dog,4,6,medium,3,False,True,0.3751871540878635,0.3726836760783451,0.6553111326452705,0.16,0.255
Mittens,cat,8,6,medium,3,False,False,0.34660140434036907,0.32836454665124504,0.6231921473508707,0.125,0.265
Clover,rabbit,2,5,small,2,True,False,0.21671312271426132,0.15600107070073366,0.5025829560974261,0.05,0.64
Zoe,dog,7,10,large,10,False,False,0.19523257280630535,0.16118380273686647,0.4047104992150374,0.04,0.625
Felix,cat,6,2,medium,6,False,True,0.4538469182680353,0.4595144805275512,0.6776709651489433,0.265,0.12
Pepper,rabbit,6,4,small,1,True,False,0.17124644012789075,0.13417496562638956,0.3643472138231717,0.0,0.73
Charlie,dog,7,10,small,3,False,False,0.1910262718236988,0.15850373179449712,0.351136878973356,0.04,0.645
